type;n;k;comps;swaps;
insertion;10;1;31;22;
insertion;20;1;97;78;
insertion;30;1;247;218;
insertion;40;1;429;390;
insertion;50;1;662;613;
insertion;60;1;952;893;
insertion;70;1;1192;1123;
insertion;80;1;1741;1662;
insertion;90;1;2018;1929;
insertion;100;1;2671;2572;
insertion;110;1;3065;2956;
insertion;120;1;3438;3319;
insertion;130;1;4617;4488;
insertion;140;1;5174;5035;
insertion;150;1;5643;5494;
insertion;160;1;6575;6416;
insertion;170;1;7064;6895;
insertion;180;1;7783;7604;
insertion;190;1;9117;8928;
insertion;200;1;9901;9702;
insertion;10;10;19;10;
insertion;10;10;27;18;
insertion;10;10;23;14;
insertion;10;10;40;31;
insertion;10;10;29;20;
insertion;10;10;28;19;
insertion;10;10;27;18;
insertion;10;10;34;25;
insertion;10;10;27;18;
insertion;10;10;27;18;
insertion;20;10;97;78;
insertion;20;10;123;104;
insertion;20;10;94;75;
insertion;20;10;136;117;
insertion;20;10;121;102;
insertion;20;10;112;93;
insertion;20;10;125;106;
insertion;20;10;111;92;
insertion;20;10;149;130;
insertion;20;10;100;81;
insertion;30;10;254;225;
insertion;30;10;224;195;
insertion;30;10;260;231;
insertion;30;10;235;206;
insertion;30;10;236;207;
insertion;30;10;270;241;
insertion;30;10;270;241;
insertion;30;10;279;250;
insertion;30;10;216;187;
insertion;30;10;291;262;
insertion;40;10;363;324;
insertion;40;10;446;407;
insertion;40;10;473;434;
insertion;40;10;382;343;
insertion;40;10;448;409;
insertion;40;10;415;376;
insertion;40;10;399;360;
insertion;40;10;428;389;
insertion;40;10;436;397;
insertion;40;10;473;434;
insertion;50;10;528;479;
insertion;50;10;596;547;
insertion;50;10;648;599;
insertion;50;10;706;657;
insertion;50;10;709;660;
insertion;50;10;645;596;
insertion;50;10;559;510;
insertion;50;10;825;776;
insertion;50;10;572;523;
insertion;50;10;523;474;
insertion;60;10;902;843;
insertion;60;10;1021;962;
insertion;60;10;996;937;
insertion;60;10;925;866;
insertion;60;10;905;846;
insertion;60;10;1052;993;
insertion;60;10;757;698;
insertion;60;10;905;846;
insertion;60;10;868;809;
insertion;60;10;992;933;
insertion;70;10;1236;1167;
insertion;70;10;1041;972;
insertion;70;10;1359;1290;
insertion;70;10;1297;1228;
insertion;70;10;1075;1006;
insertion;70;10;1327;1258;
insertion;70;10;1264;1195;
insertion;70;10;1326;1257;
insertion;70;10;1293;1224;
insertion;70;10;1300;1231;
insertion;80;10;1546;1467;
insertion;80;10;1787;1708;
insertion;80;10;1425;1346;
insertion;80;10;1459;1380;
insertion;80;10;1715;1636;
insertion;80;10;1632;1553;
insertion;80;10;1812;1733;
insertion;80;10;1513;1434;
insertion;80;10;1678;1599;
insertion;80;10;1612;1533;
insertion;90;10;2104;2015;
insertion;90;10;2190;2101;
insertion;90;10;2000;1911;
insertion;90;10;2001;1912;
insertion;90;10;2417;2328;
insertion;90;10;2053;1964;
insertion;90;10;2152;2063;
insertion;90;10;2034;1945;
insertion;90;10;2178;2089;
insertion;90;10;2249;2160;
insertion;100;10;2543;2444;
insertion;100;10;2734;2635;
