type;n;avg_comparisons;avg_swaps;constant;
quick;1000;11093.200000;6323.380000;1.605905;
dual;1000;9990.820000;5693.560000;1.446319;
quick;2000;24969.320000;13919.940000;1.642523;
dual;2000;22643.780000;12871.300000;1.489545;
quick;3000;39432.680000;22205.160000;1.641722;
dual;3000;35978.480000;19883.520000;1.497911;
quick;4000;55060.080000;31142.620000;1.659626;
dual;4000;50146.660000;27853.460000;1.511525;
quick;5000;71237.700000;39315.040000;1.672798;
dual;5000;64987.180000;35635.180000;1.526023;
quick;6000;87067.660000;47656.900000;1.668056;
dual;6000;79074.520000;43409.800000;1.514922;
quick;7000;104207.460000;58277.020000;1.681426;
dual;7000;95083.360000;52337.140000;1.534205;
quick;8000;121671.320000;66716.440000;1.692287;
dual;8000;111013.080000;60863.420000;1.544045;
quick;9000;137731.740000;75529.220000;1.680786;
dual;9000;125728.740000;69045.220000;1.534310;
quick;10000;155682.060000;84758.300000;1.690296;
dual;10000;143260.760000;77597.260000;1.555434;
quick;11000;171998.000000;94357.920000;1.680289;
dual;11000;157669.220000;86742.640000;1.540308;
quick;12000;193039.760000;106050.620000;1.712682;
dual;12000;174433.640000;94815.000000;1.547606;
quick;13000;210691.920000;115371.240000;1.710923;
dual;13000;191670.300000;103228.740000;1.556458;
quick;14000;228051.300000;124981.380000;1.706264;
dual;14000;206626.900000;113273.300000;1.545968;
quick;15000;245883.420000;135073.020000;1.704717;
dual;15000;224807.580000;122604.880000;1.558598;
quick;16000;264901.760000;146250.020000;1.710307;
dual;16000;240137.880000;131248.560000;1.550422;
quick;17000;281455.300000;154687.480000;1.699646;
dual;17000;256792.240000;139672.200000;1.550711;
quick;18000;299436.840000;167398.300000;1.697812;
dual;18000;274702.520000;149445.200000;1.557568;
quick;19000;320210.820000;176935.840000;1.710604;
dual;19000;291222.940000;158283.060000;1.555747;
quick;20000;339547.660000;187992.660000;1.714283;
dual;20000;308267.920000;168988.300000;1.556360;
quick;21000;359646.720000;195868.680000;1.720816;
dual;21000;325777.260000;176046.600000;1.558759;
quick;22000;377949.860000;207386.640000;1.718160;
dual;22000;346404.160000;187615.840000;1.574754;
quick;23000;394933.080000;215355.240000;1.709706;
dual;23000;360344.260000;196159.460000;1.559967;
quick;24000;414347.580000;224568.120000;1.711760;
dual;24000;377607.300000;205547.980000;1.559978;
quick;25000;436162.100000;238221.580000;1.722832;
dual;25000;396530.140000;214209.980000;1.566287;
quick;26000;453306.400000;247197.540000;1.715042;
dual;26000;411977.480000;223423.620000;1.558678;
quick;27000;472585.120000;256325.180000;1.715391;
dual;27000;429627.840000;235315.620000;1.559465;
quick;28000;497783.800000;271407.120000;1.736139;
dual;28000;446924.400000;244091.060000;1.558755;
quick;29000;511453.660000;279714.660000;1.716423;
dual;29000;465557.140000;251431.120000;1.562396;
quick;30000;533712.840000;291245.880000;1.725726;
dual;30000;486525.580000;264173.060000;1.573149;
quick;31000;557143.680000;301993.560000;1.737848;
dual;31000;505094.080000;273193.740000;1.575494;
quick;32000;570026.320000;306825.060000;1.717196;
dual;32000;522282.840000;282414.360000;1.573370;
quick;33000;596909.180000;327093.400000;1.738533;
dual;33000;540102.740000;292014.260000;1.573081;
quick;34000;612971.440000;333195.580000;1.727849;
dual;34000;559343.100000;303638.560000;1.576681;
quick;35000;630346.400000;342331.060000;1.721277;
dual;35000;573878.880000;310908.020000;1.567082;
quick;36000;648815.420000;352625.740000;1.717871;
dual;36000;592309.600000;320188.180000;1.568260;
quick;37000;672194.280000;367184.560000;1.727158;
dual;37000;612065.960000;330044.820000;1.572663;
quick;38000;690859.900000;375436.540000;1.724034;
dual;38000;635367.600000;338807.800000;1.585553;
quick;39000;716977.540000;388403.040000;1.739049;
dual;39000;651034.460000;348672.660000;1.579102;
quick;40000;735319.020000;399071.780000;1.734794;
dual;40000;664482.500000;365015.860000;1.567673;
quick;41000;751564.040000;406734.220000;1.725851;
dual;41000;684449.480000;370077.900000;1.571733;
quick;42000;778348.320000;425187.680000;1.740851;
dual;42000;700471.180000;381357.400000;1.566672;
quick;43000;795495.080000;438072.620000;1.733992;
dual;43000;726710.020000;392828.700000;1.584057;
quick;44000;813853.040000;445729.080000;1.729962;
dual;44000;740941.360000;396026.320000;1.574978;
quick;45000;828102.140000;455915.780000;1.717524;
dual;45000;758350.800000;410279.900000;1.572856;
quick;46000;847989.820000;460093.300000;1.717016;
dual;46000;779765.800000;421748.580000;1.578875;
quick;47000;882169.120000;474161.280000;1.744723;
dual;47000;798119.800000;428073.420000;1.578493;
quick;48000;906994.800000;487950.660000;1.753020;
dual;48000;817019.400000;435843.060000;1.579117;
quick;49000;916228.540000;502686.820000;1.731414;
dual;49000;831403.040000;452689.100000;1.571118;
quick;50000;952681.560000;519117.600000;1.761000;
dual;50000;862503.340000;456379.400000;1.594309;
