type;n;avg_comparisons;avg_swaps;
quick;10;25.180000;20.080000;
insertion;10;30.900000;21.900000;
hybrid;10;28.240000;17.880000;
quick;20;71.060000;49.060000;
insertion;20;116.080000;97.080000;
hybrid;20;76.940000;44.400000;
quick;30;127.320000;85.400000;
insertion;30;247.220000;218.220000;
hybrid;30;135.900000;78.700000;
quick;40;194.340000;132.440000;
insertion;40;424.620000;385.620000;
hybrid;40;202.100000;118.580000;
quick;50;263.340000;175.120000;
insertion;50;646.280000;597.280000;
hybrid;50;275.120000;161.000000;
quick;60;336.480000;214.100000;
insertion;60;914.160000;855.160000;
hybrid;60;353.460000;201.100000;
quick;70;406.060000;258.960000;
insertion;70;1278.200000;1209.200000;
hybrid;70;427.040000;244.560000;
quick;80;478.940000;310.600000;
insertion;80;1658.180000;1579.180000;
hybrid;80;500.720000;289.320000;
quick;90;577.840000;358.640000;
insertion;90;2081.700000;1992.700000;
hybrid;90;601.140000;333.720000;
quick;100;649.020000;410.280000;
insertion;100;2534.340000;2435.340000;
hybrid;100;675.280000;383.880000;
quick;110;723.760000;456.260000;
insertion;110;3105.980000;2996.980000;
hybrid;110;748.720000;422.840000;
quick;120;819.760000;506.440000;
insertion;120;3664.960000;3545.960000;
hybrid;120;849.960000;472.020000;
quick;130;915.300000;543.100000;
insertion;130;4308.540000;4179.540000;
hybrid;130;951.800000;512.300000;
quick;140;991.860000;595.920000;
insertion;140;4994.340000;4855.340000;
hybrid;140;1030.000000;562.760000;
quick;150;1102.180000;669.000000;
insertion;150;5703.500000;5554.500000;
hybrid;150;1141.360000;632.260000;
quick;160;1182.700000;718.140000;
insertion;160;6503.900000;6344.900000;
hybrid;160;1226.080000;678.240000;
quick;170;1259.960000;765.680000;
insertion;170;7358.560000;7189.560000;
hybrid;170;1304.360000;720.880000;
quick;180;1361.160000;833.480000;
insertion;180;8243.160000;8064.160000;
hybrid;180;1409.120000;788.840000;
quick;190;1469.960000;879.620000;
insertion;190;9164.680000;8975.680000;
hybrid;190;1519.300000;831.400000;
quick;200;1564.260000;932.620000;
insertion;200;10120.760000;9921.760000;
hybrid;200;1620.760000;886.480000;
quick;210;1662.020000;993.100000;
insertion;210;11129.120000;10920.120000;
hybrid;210;1720.100000;945.220000;
quick;220;1783.120000;1080.260000;
insertion;220;12273.180000;12054.180000;
hybrid;220;1841.020000;1023.200000;
quick;230;1883.220000;1137.880000;
insertion;230;13318.800000;13089.800000;
hybrid;230;1937.060000;1069.040000;
quick;240;1948.180000;1151.600000;
insertion;240;14613.400000;14374.400000;
hybrid;240;2017.700000;1098.880000;
quick;250;2038.340000;1223.060000;
insertion;250;15720.940000;15471.940000;
hybrid;250;2103.980000;1165.040000;
quick;260;2150.440000;1272.100000;
insertion;260;17138.240000;16879.240000;
hybrid;260;2215.020000;1199.780000;
quick;270;2277.060000;1346.740000;
insertion;270;18450.760000;18181.760000;
hybrid;270;2346.040000;1270.760000;
quick;280;2355.720000;1384.140000;
insertion;280;19861.100000;19582.100000;
hybrid;280;2424.760000;1307.720000;
quick;290;2490.260000;1453.900000;
insertion;290;21374.100000;21085.100000;
hybrid;290;2563.640000;1372.640000;
quick;300;2585.160000;1520.660000;
insertion;300;22870.880000;22571.880000;
hybrid;300;2662.060000;1439.440000;
quick;310;2731.040000;1593.880000;
insertion;310;24202.000000;23893.000000;
hybrid;310;2813.700000;1512.400000;
quick;320;2787.240000;1670.260000;
insertion;320;25693.000000;25374.000000;
hybrid;320;2866.340000;1581.080000;
quick;330;2879.600000;1692.720000;
insertion;330;27686.300000;27357.300000;
hybrid;330;2966.560000;1609.440000;
quick;340;2974.820000;1743.880000;
insertion;340;28993.460000;28654.460000;
hybrid;340;3058.940000;1649.300000;
quick;350;3124.820000;1850.120000;
insertion;350;31004.880000;30655.880000;
hybrid;350;3215.040000;1760.420000;
quick;360;3209.920000;1893.580000;
insertion;360;32834.180000;32475.180000;
hybrid;360;3303.840000;1803.700000;
quick;370;3394.860000;2001.240000;
insertion;370;34468.560000;34099.560000;
hybrid;370;3495.860000;1909.360000;
quick;380;3459.400000;1990.560000;
insertion;380;36530.680000;36151.680000;
hybrid;380;3545.040000;1871.700000;
quick;390;3585.700000;2080.280000;
insertion;390;38303.760000;37914.760000;
hybrid;390;3682.520000;1976.120000;
quick;400;3683.800000;2119.280000;
insertion;400;39951.200000;39552.200000;
hybrid;400;3790.720000;2016.980000;
quick;410;3720.500000;2206.100000;
insertion;410;42365.580000;41956.580000;
hybrid;410;3832.480000;2105.940000;
quick;420;3876.160000;2276.640000;
insertion;420;44279.600000;43860.600000;
hybrid;420;3977.020000;2156.580000;
quick;430;4023.640000;2393.340000;
insertion;430;46569.860000;46140.860000;
hybrid;430;4134.900000;2280.100000;
quick;440;4133.280000;2406.860000;
insertion;440;49048.100000;48609.100000;
hybrid;440;4249.040000;2294.500000;
quick;450;4221.760000;2425.100000;
insertion;450;50926.680000;50477.680000;
hybrid;450;4333.700000;2304.800000;
quick;460;4376.100000;2560.460000;
insertion;460;52977.760000;52518.760000;
hybrid;460;4490.140000;2437.540000;
quick;470;4474.700000;2635.220000;
insertion;470;55457.000000;54988.000000;
hybrid;470;4595.060000;2515.300000;
quick;480;4577.160000;2603.300000;
insertion;480;57894.280000;57415.280000;
hybrid;480;4702.200000;2474.840000;
quick;490;4686.160000;2684.660000;
insertion;490;60401.520000;59912.520000;
hybrid;490;4815.660000;2563.200000;
quick;500;4828.400000;2845.360000;
insertion;500;62820.440000;62321.440000;
hybrid;500;4955.160000;2712.580000;
quick;510;4906.120000;2904.420000;
insertion;510;65471.580000;64962.580000;
hybrid;510;5039.840000;2774.300000;
quick;520;4979.120000;2811.680000;
insertion;520;67640.480000;67121.480000;
hybrid;520;5114.860000;2673.960000;
quick;530;5074.940000;2974.700000;
insertion;530;70891.980000;70362.980000;
hybrid;530;5214.120000;2836.280000;
quick;540;5259.380000;3059.380000;
insertion;540;73158.400000;72619.400000;
hybrid;540;5403.540000;2922.460000;
quick;550;5343.000000;3025.180000;
insertion;550;76522.880000;75973.880000;
hybrid;550;5485.180000;2881.260000;
quick;560;5472.900000;3206.480000;
insertion;560;79073.740000;78514.740000;
hybrid;560;5614.300000;3057.240000;
quick;570;5707.160000;3363.840000;
insertion;570;81154.420000;80585.420000;
hybrid;570;5851.160000;3210.320000;
quick;580;5906.300000;3405.180000;
insertion;580;84504.300000;83925.300000;
hybrid;580;6053.980000;3253.420000;
quick;590;5748.300000;3292.260000;
insertion;590;87486.660000;86897.660000;
hybrid;590;5901.020000;3134.820000;
quick;600;5892.480000;3513.220000;
insertion;600;90290.400000;89691.400000;
hybrid;600;6042.460000;3347.560000;
quick;610;6072.180000;3506.200000;
insertion;610;93315.420000;92706.420000;
hybrid;610;6226.680000;3344.300000;
quick;620;6218.260000;3614.060000;
insertion;620;96292.060000;95673.060000;
hybrid;620;6376.760000;3447.740000;
quick;630;6347.080000;3637.080000;
insertion;630;99984.200000;99355.200000;
hybrid;630;6516.060000;3481.380000;
quick;640;6462.020000;3748.120000;
insertion;640;103551.420000;102912.420000;
hybrid;640;6625.240000;3580.260000;
quick;650;6708.340000;3849.580000;
insertion;650;106507.180000;105858.180000;
hybrid;650;6874.280000;3679.780000;
quick;660;6805.660000;4014.940000;
insertion;660;108693.560000;108034.560000;
hybrid;660;6977.940000;3842.700000;
quick;670;6817.880000;3991.820000;
insertion;670;112969.860000;112300.860000;
hybrid;670;6986.380000;3812.960000;
quick;680;6987.860000;4072.100000;
insertion;680;116092.780000;115413.780000;
hybrid;680;7161.040000;3895.360000;
quick;690;7077.780000;4065.300000;
insertion;690;118637.120000;117948.120000;
hybrid;690;7254.380000;3884.080000;
quick;700;7155.160000;4110.160000;
insertion;700;122985.160000;122286.160000;
hybrid;700;7340.220000;3932.060000;
quick;710;7525.580000;4397.200000;
insertion;710;126767.120000;126058.120000;
hybrid;710;7702.780000;4201.720000;
quick;720;7440.900000;4267.260000;
insertion;720;130037.440000;129318.440000;
hybrid;720;7621.460000;4077.060000;
quick;730;7542.400000;4342.600000;
insertion;730;133792.980000;133063.980000;
hybrid;730;7730.720000;4154.640000;
quick;740;7717.580000;4459.480000;
insertion;740;136899.300000;136160.300000;
hybrid;740;7910.020000;4272.720000;
quick;750;7741.080000;4521.380000;
insertion;750;140763.040000;140014.040000;
hybrid;750;7933.500000;4325.200000;
quick;760;7930.060000;4557.580000;
insertion;760;145385.220000;144626.220000;
hybrid;760;8128.340000;4362.760000;
quick;770;7992.900000;4559.620000;
insertion;770;148521.500000;147752.500000;
hybrid;770;8186.100000;4355.020000;
quick;780;8072.020000;4678.360000;
insertion;780;152702.280000;151923.280000;
hybrid;780;8277.100000;4482.180000;
quick;790;8253.080000;4629.780000;
insertion;790;156134.660000;155345.660000;
hybrid;790;8465.860000;4433.500000;
quick;800;8541.460000;4757.340000;
insertion;800;160600.960000;159801.960000;
hybrid;800;8750.440000;4547.240000;
