type;n;avg_comparisons;avg_swaps;
quick;1000;10987.580000;6202.760000;
hybrid;1000;12120.020000;7157.080000;
quick;2000;24744.660000;14054.260000;
hybrid;2000;26969.360000;15896.220000;
quick;3000;39760.080000;22268.960000;
hybrid;3000;43084.680000;25017.100000;
quick;4000;54304.880000;30053.200000;
hybrid;4000;58746.460000;33727.240000;
quick;5000;71619.100000;39515.080000;
hybrid;5000;77229.340000;44159.820000;
quick;6000;86909.100000;48956.600000;
hybrid;6000;93626.840000;54538.140000;
quick;7000;103932.980000;56903.060000;
hybrid;7000;111792.920000;63432.060000;
quick;8000;120332.160000;65905.160000;
hybrid;8000;129330.040000;73384.160000;
quick;9000;139747.220000;77309.040000;
hybrid;9000;149845.540000;85715.840000;
quick;10000;154279.520000;84469.600000;
hybrid;10000;165479.520000;93778.580000;
quick;11000;173442.740000;95349.940000;
hybrid;11000;185726.720000;105525.080000;
quick;12000;190237.140000;105577.320000;
hybrid;12000;203708.580000;116748.360000;
quick;13000;209329.960000;115212.460000;
hybrid;13000;223921.500000;127355.060000;
quick;14000;228847.740000;126155.080000;
hybrid;14000;244596.800000;139269.740000;
quick;15000;244997.500000;135611.000000;
hybrid;15000;261780.780000;149474.780000;
quick;16000;263071.000000;145239.060000;
hybrid;16000;281062.000000;160183.000000;
quick;17000;281718.400000;154671.720000;
hybrid;17000;300641.060000;170330.440000;
quick;18000;300689.660000;165299.160000;
hybrid;18000;320977.120000;182080.460000;
quick;19000;320253.760000;176382.300000;
hybrid;19000;341544.080000;194061.360000;
quick;20000;339883.980000;186610.220000;
hybrid;20000;362359.320000;205214.100000;
quick;21000;360456.460000;196199.960000;
hybrid;21000;384013.840000;215742.620000;
quick;22000;377929.420000;205268.220000;
hybrid;22000;402470.120000;225633.840000;
quick;23000;396979.020000;217022.140000;
hybrid;23000;422912.300000;238535.620000;
quick;24000;415753.900000;225660.380000;
hybrid;24000;442595.020000;247882.080000;
quick;25000;439093.360000;240909.240000;
hybrid;25000;467031.600000;264013.640000;
quick;26000;453177.140000;246700.420000;
hybrid;26000;482369.640000;270968.420000;
quick;27000;472645.180000;256053.060000;
hybrid;27000;502941.360000;281228.140000;
quick;28000;494939.160000;268945.400000;
hybrid;28000;526395.820000;295095.720000;
quick;29000;512777.920000;280556.980000;
hybrid;29000;545291.720000;307547.080000;
quick;30000;534535.100000;293049.840000;
hybrid;30000;568282.300000;321098.780000;
quick;31000;552371.160000;305926.120000;
hybrid;31000;587199.460000;334822.860000;
quick;32000;570528.820000;307250.420000;
hybrid;32000;606287.920000;336893.740000;
quick;33000;591253.060000;324956.440000;
hybrid;33000;628197.640000;355586.780000;
quick;34000;612274.520000;334949.840000;
hybrid;34000;650534.060000;366670.260000;
quick;35000;626742.820000;339649.960000;
hybrid;35000;665993.080000;372253.400000;
quick;36000;648725.540000;355857.600000;
hybrid;36000;688862.680000;389092.660000;
quick;37000;670685.780000;364509.820000;
hybrid;37000;712151.480000;398845.840000;
quick;38000;693351.560000;378329.020000;
hybrid;38000;735820.100000;413553.940000;
quick;39000;715514.740000;391680.480000;
hybrid;39000;759205.700000;427939.980000;
quick;40000;736101.840000;404470.160000;
hybrid;40000;780974.040000;441646.240000;
quick;41000;756721.280000;411649.020000;
hybrid;41000;802603.600000;449671.160000;
quick;42000;773596.840000;418424.320000;
hybrid;42000;820606.580000;457354.820000;
quick;43000;800547.580000;434819.940000;
hybrid;43000;848707.260000;474693.680000;
quick;44000;814710.520000;446730.720000;
hybrid;44000;863949.740000;487573.800000;
quick;45000;836294.520000;460066.660000;
hybrid;45000;886709.480000;501851.080000;
quick;46000;856287.580000;466003.840000;
hybrid;46000;907728.180000;508554.720000;
quick;47000;881444.680000;480387.360000;
hybrid;47000;934227.260000;524245.180000;
quick;48000;889251.040000;484820.320000;
hybrid;48000;942960.240000;529274.940000;
quick;49000;919274.520000;500723.660000;
hybrid;49000;974122.880000;546215.960000;
quick;50000;941064.340000;514235.560000;
hybrid;50000;996879.780000;560404.140000;
