type;position;n;time;comps
normal;beginning;1000;1.120000;17.440000
normal;middle;1000;1.120000;16.480000
normal;end;1000;1.140000;17.120000
normal;nowhere;1000;1.060000;18.000000
normal;random;1000;1.400000;17.280000
coefficient;beginning;1000;0.112385;1.749988
coefficient;middle;1000;0.112385;1.653658
coefficient;end;1000;0.114391;1.717878
coefficient;nowhere;1000;0.106364;1.806180
coefficient;random;1000;0.140481;1.733933
normal;beginning;2000;0.900000;19.000000
normal;middle;2000;0.840000;18.880000
normal;end;2000;0.800000;18.720000
normal;nowhere;2000;0.960000;20.000000
normal;random;2000;0.940000;18.800000
coefficient;beginning;2000;0.082073;1.732662
coefficient;middle;2000;0.076602;1.721719
coefficient;end;2000;0.072954;1.707128
coefficient;nowhere;2000;0.087545;1.823855
coefficient;random;2000;0.085721;1.714424
normal;beginning;3000;0.940000;20.760000
normal;middle;3000;0.860000;19.360000
normal;end;3000;0.820000;20.360000
normal;nowhere;3000;0.840000;22.000000
normal;random;3000;1.000000;19.720000
coefficient;beginning;3000;0.081380;1.797286
coefficient;middle;3000;0.074454;1.676082
coefficient;end;3000;0.070991;1.762657
coefficient;nowhere;3000;0.072723;1.904639
coefficient;random;3000;0.086574;1.707249
normal;beginning;4000;0.840000;20.920000
normal;middle;4000;0.900000;19.800000
normal;end;4000;0.880000;21.560000
normal;nowhere;4000;0.900000;22.000000
normal;random;4000;0.960000;21.120000
coefficient;beginning;4000;0.070200;1.748318
coefficient;middle;4000;0.075214;1.654718
coefficient;end;4000;0.073543;1.801804
coefficient;nowhere;4000;0.075214;1.838576
coefficient;random;4000;0.080229;1.765033
normal;beginning;5000;0.840000;22.200000
normal;middle;5000;0.940000;21.440000
normal;end;5000;0.820000;22.280000
normal;nowhere;5000;0.820000;24.000000
normal;random;5000;0.940000;21.880000
coefficient;beginning;5000;0.068361;1.806683
coefficient;middle;5000;0.076499;1.744833
coefficient;end;5000;0.066733;1.813193
coefficient;nowhere;5000;0.066733;1.953171
coefficient;random;5000;0.076499;1.780641
normal;beginning;6000;0.880000;22.520000
normal;middle;6000;0.860000;21.520000
normal;end;6000;0.920000;22.920000
normal;nowhere;6000;0.820000;24.000000
normal;random;6000;0.960000;22.320000
coefficient;beginning;6000;0.070115;1.794316
coefficient;middle;6000;0.068522;1.714639
coefficient;end;6000;0.073302;1.826186
coefficient;nowhere;6000;0.065335;1.912237
coefficient;random;6000;0.076489;1.778380
normal;beginning;7000;0.900000;22.440000
normal;middle;7000;0.900000;22.680000
normal;end;7000;1.080000;22.640000
normal;nowhere;7000;0.940000;24.000000
normal;random;7000;0.960000;22.440000
coefficient;beginning;7000;0.070460;1.756812
coefficient;middle;7000;0.070460;1.775601
coefficient;end;7000;0.084552;1.772470
coefficient;nowhere;7000;0.073592;1.878943
coefficient;random;7000;0.075158;1.756812
normal;beginning;8000;0.900000;22.960000
normal;middle;8000;0.900000;21.640000
normal;end;8000;0.800000;23.280000
normal;nowhere;8000;0.900000;24.000000
normal;random;8000;0.960000;22.760000
coefficient;beginning;8000;0.069413;1.770815
coefficient;middle;8000;0.069413;1.669008
coefficient;end;8000;0.061701;1.795495
coefficient;nowhere;8000;0.069413;1.851026
coefficient;random;8000;0.074041;1.755389
normal;beginning;9000;0.880000;22.800000
normal;middle;9000;0.880000;22.520000
normal;end;9000;0.900000;23.600000
normal;nowhere;9000;0.780000;26.000000
normal;random;9000;0.920000;23.000000
coefficient;beginning;9000;0.066993;1.735727
coefficient;middle;9000;0.066993;1.714411
coefficient;end;9000;0.068516;1.796629
coefficient;nowhere;9000;0.059380;1.979337
coefficient;random;9000;0.070038;1.750952
normal;beginning;10000;0.940000;23.960000
normal;middle;10000;0.980000;24.360000
normal;end;10000;0.980000;24.680000
normal;nowhere;10000;0.940000;26.000000
normal;random;10000;1.100000;23.920000
coefficient;beginning;10000;0.070742;1.803170
coefficient;middle;10000;0.073752;1.833273
coefficient;end;10000;0.073752;1.857355
coefficient;nowhere;10000;0.070742;1.956695
coefficient;random;10000;0.082783;1.800159
normal;beginning;11000;1.160000;24.200000
normal;middle;11000;1.140000;24.040000
normal;end;11000;1.160000;24.920000
normal;nowhere;11000;1.180000;26.000000
normal;random;11000;1.320000;24.040000
coefficient;beginning;11000;0.086405;1.802578
coefficient;middle;11000;0.084915;1.790660
coefficient;end;11000;0.086405;1.856209
coefficient;nowhere;11000;0.087894;1.936654
coefficient;random;11000;0.098322;1.790660
normal;beginning;12000;1.180000;24.120000
normal;middle;12000;1.120000;24.560000
normal;end;12000;1.120000;23.720000
normal;nowhere;12000;1.160000;26.000000
normal;random;12000;1.360000;24.680000
coefficient;beginning;12000;0.087080;1.779976
coefficient;middle;12000;0.082652;1.812446
coefficient;end;12000;0.082652;1.750457
coefficient;nowhere;12000;0.085604;1.918713
coefficient;random;12000;0.100363;1.821302
normal;beginning;13000;1.520000;24.280000
normal;middle;13000;1.140000;25.080000
normal;end;13000;1.160000;25.320000
normal;nowhere;13000;1.080000;26.000000
normal;random;13000;1.220000;24.840000
coefficient;beginning;13000;0.111223;1.776643
coefficient;middle;13000;0.083417;1.835181
coefficient;end;13000;0.084881;1.852743
coefficient;nowhere;13000;0.079027;1.902501
coefficient;random;13000;0.089271;1.817620
normal;beginning;14000;1.660000;24.760000
normal;middle;14000;1.220000;24.520000
normal;end;14000;1.180000;24.840000
normal;nowhere;14000;1.100000;26.000000
normal;random;14000;1.260000;24.720000
coefficient;beginning;14000;0.120524;1.797702
coefficient;middle;14000;0.088578;1.780277
coefficient;end;14000;0.085674;1.803510
coefficient;nowhere;14000;0.079866;1.887732
coefficient;random;14000;0.091482;1.794798
normal;beginning;15000;1.500000;25.400000
normal;middle;15000;1.200000;25.240000
normal;end;15000;1.200000;25.520000
normal;nowhere;15000;1.140000;26.000000
normal;random;15000;1.240000;24.480000
coefficient;beginning;15000;0.108126;1.830937
coefficient;middle;15000;0.086501;1.819404
coefficient;end;15000;0.086501;1.839588
coefficient;nowhere;15000;0.082176;1.874188
