type;data;n;time;comps;swaps
quickSortSelect;random;100;28.820000;1918.590000;811.200000
quickSort;random;100;10.980000;643.070000;393.730000
quickSortSelect;worst;100;15.990000;1906.000000;342.000000
quickSort;worst;100;54.510000;4950.000000;5049.000000
quickSortSelect;random;200;68.000000;4615.070000;1916.830000
quickSort;random;200;24.440000;1568.220000;940.310000
quickSortSelect;worst;200;38.610000;4608.000000;767.000000
quickSort;worst;200;217.140000;19900.000000;20099.000000
quickSortSelect;random;300;100.370000;7740.890000;3162.260000
quickSort;random;300;36.860000;2593.650000;1568.140000
quickSortSelect;worst;300;57.330000;7701.000000;1317.000000
quickSort;worst;300;432.230000;44850.000000;45149.000000
quickSortSelect;random;400;137.800000;10809.030000;4468.780000
quickSort;random;400;48.800000;3665.660000;2128.110000
quickSortSelect;worst;400;76.080000;10809.000000;1721.000000
quickSort;worst;400;734.070000;79800.000000;80199.000000
quickSortSelect;random;500;166.570000;14221.130000;5877.660000
quickSort;random;500;61.100000;4835.880000;2830.570000
quickSortSelect;worst;500;91.630000;14206.000000;2296.000000
quickSort;worst;500;1055.730000;124750.000000;125249.000000
quickSortSelect;random;600;208.460000;17754.490000;7280.940000
quickSort;random;600;75.860000;5960.360000;3448.910000
quickSortSelect;worst;600;114.970000;17746.000000;2946.000000
quickSort;worst;600;1549.980000;179700.000000;180299.000000
quickSortSelect;random;700;239.800000;21327.380000;8746.650000
quickSort;random;700;85.730000;7173.180000;4141.700000
quickSortSelect;worst;700;127.900000;21140.000000;3375.000000
quickSort;worst;700;2021.010000;244650.000000;245349.000000
quickSortSelect;random;800;270.530000;25097.120000;10187.290000
quickSort;random;800;99.890000;8450.900000;4928.260000
quickSortSelect;worst;800;148.700000;24932.000000;3925.000000
quickSort;worst;800;2584.410000;319600.000000;320399.000000
quickSortSelect;random;900;299.810000;28578.340000;11711.650000
quickSort;random;900;111.090000;9771.630000;5648.730000
quickSortSelect;worst;900;163.250000;28824.000000;4575.000000
quickSort;worst;900;3155.290000;404550.000000;405449.000000
