type;n;m;comps;swaps
randomSelect;100;14;171;74
select;100;14;776;350
randomSelect;100;14;395;228
select;100;14;936;382
randomSelect;100;14;369;243
select;100;14;955;420
randomSelect;100;14;245;165
select;100;14;772;321
randomSelect;100;14;129;32
select;100;14;746;341
randomSelect;100;14;172;97
select;100;14;652;283
randomSelect;100;14;474;128
select;100;14;806;357
randomSelect;100;14;157;73
select;100;14;744;327
randomSelect;100;14;171;67
select;100;14;691;298
randomSelect;100;14;134;53
select;100;14;649;272
randomSelect;100;14;292;218
select;100;14;817;395
randomSelect;100;14;269;86
select;100;14;824;359
randomSelect;100;14;244;117
select;100;14;787;340
randomSelect;100;14;213;117
select;100;14;854;332
randomSelect;100;14;99;15
select;100;14;877;383
randomSelect;100;14;186;92
select;100;14;813;379
randomSelect;100;14;186;76
select;100;14;722;306
randomSelect;100;14;204;129
select;100;14;721;315
randomSelect;100;14;192;98
select;100;14;898;395
randomSelect;100;14;171;97
select;100;14;790;349
randomSelect;100;14;243;135
select;100;14;859;343
randomSelect;100;14;178;77
select;100;14;868;345
randomSelect;100;14;315;143
select;100;14;867;340
randomSelect;100;14;288;211
select;100;14;832;375
randomSelect;100;14;223;128
select;100;14;834;366
randomSelect;100;14;366;218
select;100;14;848;356
randomSelect;100;14;120;34
select;100;14;688;283
randomSelect;100;14;362;253
select;100;14;889;359
randomSelect;100;14;492;352
select;100;14;785;326
randomSelect;100;14;193;80
select;100;14;910;353
randomSelect;100;14;368;230
select;100;14;744;329
randomSelect;100;14;293;220
select;100;14;764;326
randomSelect;100;14;180;66
select;100;14;785;333
randomSelect;100;14;211;88
select;100;14;1021;367
randomSelect;100;14;192;97
select;100;14;928;387
randomSelect;100;14;262;115
select;100;14;874;357
randomSelect;100;14;197;118
select;100;14;758;388
randomSelect;100;14;387;125
select;100;14;853;334
randomSelect;100;14;230;116
select;100;14;748;354
randomSelect;100;14;271;168
select;100;14;894;320
randomSelect;100;14;202;112
select;100;14;1083;399
randomSelect;100;14;159;81
select;100;14;842;376
