type;n;k;comps;swaps
ExperimentalSelect3;100;3;655;251
ExperimentalSelect5;100;5;960;348
ExperimentalSelect7;100;7;1120;474
ExperimentalSelect9;100;9;1097;441
ExperimentalSelect3;100;3;551;223
ExperimentalSelect5;100;5;778;312
ExperimentalSelect7;100;7;1093;453
ExperimentalSelect9;100;9;993;410
ExperimentalSelect3;100;3;610;273
ExperimentalSelect5;100;5;795;365
ExperimentalSelect7;100;7;1020;393
ExperimentalSelect9;100;9;1065;446
ExperimentalSelect3;100;3;592;296
ExperimentalSelect5;100;5;791;368
ExperimentalSelect7;100;7;987;451
ExperimentalSelect9;100;9;1257;538
ExperimentalSelect3;100;3;547;253
ExperimentalSelect5;100;5;788;357
ExperimentalSelect7;100;7;1269;534
ExperimentalSelect9;100;9;865;375
ExperimentalSelect3;100;3;615;305
ExperimentalSelect5;100;5;552;246
ExperimentalSelect7;100;7;1062;415
ExperimentalSelect9;100;9;1156;477
ExperimentalSelect3;100;3;531;265
ExperimentalSelect5;100;5;827;376
ExperimentalSelect7;100;7;1029;439
ExperimentalSelect9;100;9;1062;480
ExperimentalSelect3;100;3;555;243
ExperimentalSelect5;100;5;770;338
ExperimentalSelect7;100;7;969;403
ExperimentalSelect9;100;9;1142;445
ExperimentalSelect3;100;3;519;229
ExperimentalSelect5;100;5;795;331
ExperimentalSelect7;100;7;927;350
ExperimentalSelect9;100;9;1126;455
ExperimentalSelect3;100;3;448;194
ExperimentalSelect5;100;5;842;361
ExperimentalSelect7;100;7;906;400
ExperimentalSelect9;100;9;1089;501
ExperimentalSelect3;100;3;437;192
ExperimentalSelect5;100;5;664;304
ExperimentalSelect7;100;7;1122;483
ExperimentalSelect9;100;9;1184;461
ExperimentalSelect3;100;3;618;279
ExperimentalSelect5;100;5;880;398
ExperimentalSelect7;100;7;949;381
ExperimentalSelect9;100;9;1160;487
ExperimentalSelect3;100;3;597;302
ExperimentalSelect5;100;5;805;359
ExperimentalSelect7;100;7;790;306
ExperimentalSelect9;100;9;795;375
ExperimentalSelect3;100;3;705;296
ExperimentalSelect5;100;5;704;327
ExperimentalSelect7;100;7;1071;447
ExperimentalSelect9;100;9;1178;500
ExperimentalSelect3;100;3;637;267
ExperimentalSelect5;100;5;843;331
ExperimentalSelect7;100;7;949;372
ExperimentalSelect9;100;9;1177;496
ExperimentalSelect3;100;3;641;244
ExperimentalSelect5;100;5;701;319
ExperimentalSelect7;100;7;1227;450
ExperimentalSelect9;100;9;1201;467
ExperimentalSelect3;100;3;634;271
ExperimentalSelect5;100;5;886;407
ExperimentalSelect7;100;7;1016;465
ExperimentalSelect9;100;9;1062;482
ExperimentalSelect3;100;3;607;295
ExperimentalSelect5;100;5;812;351
ExperimentalSelect7;100;7;884;404
ExperimentalSelect9;100;9;1118;479
ExperimentalSelect3;100;3;525;204
ExperimentalSelect5;100;5;819;307
ExperimentalSelect7;100;7;938;387
ExperimentalSelect9;100;9;1181;492
ExperimentalSelect3;100;3;549;279
ExperimentalSelect5;100;5;771;315
ExperimentalSelect7;100;7;925;406
ExperimentalSelect9;100;9;1012;483
ExperimentalSelect3;100;3;680;296
ExperimentalSelect5;100;5;715;322
ExperimentalSelect7;100;7;979;433
ExperimentalSelect9;100;9;1323;526
ExperimentalSelect3;100;3;680;287
ExperimentalSelect5;100;5;786;324
ExperimentalSelect7;100;7;971;391
ExperimentalSelect9;100;9;1320;513
ExperimentalSelect3;100;3;643;274
ExperimentalSelect5;100;5;802;353
ExperimentalSelect7;100;7;841;345
ExperimentalSelect9;100;9;1035;440
ExperimentalSelect3;100;3;607;264
ExperimentalSelect5;100;5;572;256
ExperimentalSelect7;100;7;920;388
ExperimentalSelect9;100;9;833;403
ExperimentalSelect3;100;3;579;253
ExperimentalSelect5;100;5;601;240
ExperimentalSelect7;100;7;1001;398
ExperimentalSelect9;100;9;1083;463
ExperimentalSelect3;100;3;652;262
ExperimentalSelect5;100;5;824;355
ExperimentalSelect7;100;7;1005;415
ExperimentalSelect9;100;9;1202;486
ExperimentalSelect3;100;3;715;312
ExperimentalSelect5;100;5;842;357
ExperimentalSelect7;100;7;1032;397
ExperimentalSelect9;100;9;1096;455
ExperimentalSelect3;100;3;611;321
ExperimentalSelect5;100;5;781;345
ExperimentalSelect7;100;7;1097;455
ExperimentalSelect9;100;9;1382;590
ExperimentalSelect3;100;3;766;349
ExperimentalSelect5;100;5;899;386
ExperimentalSelect7;100;7;863;378
ExperimentalSelect9;100;9;1176;502
ExperimentalSelect3;100;3;527;260
ExperimentalSelect5;100;5;706;346
ExperimentalSelect7;100;7;871;408
ExperimentalSelect9;100;9;1054;488
ExperimentalSelect3;100;3;703;288
ExperimentalSelect5;100;5;834;340
ExperimentalSelect7;100;7;928;416
ExperimentalSelect9;100;9;1315;544
ExperimentalSelect3;100;3;616;250
ExperimentalSelect5;100;5;635;294
ExperimentalSelect7;100;7;995;413
ExperimentalSelect9;100;9;1143;470
ExperimentalSelect3;100;3;455;182
ExperimentalSelect5;100;5;720;346
