type;position;n;time;comps
normal;beginning;1000;1.200000;17.760000
normal;middle;1000;1.280000;16.720000
normal;end;1000;1.080000;16.560000
normal;nowhere;1000;1.160000;18.000000
normal;random;1000;1.260000;17.280000
coefficient;beginning;1000;0.120412;1.782098
coefficient;middle;1000;0.128439;1.677741
coefficient;end;1000;0.108371;1.661686
coefficient;nowhere;1000;0.116398;1.806180
coefficient;random;1000;0.126433;1.733933
normal;beginning;2000;1.100000;19.080000
normal;middle;2000;1.280000;18.880000
normal;end;2000;1.120000;18.920000
normal;nowhere;2000;1.160000;20.000000
normal;random;2000;1.220000;18.800000
coefficient;beginning;2000;0.100312;1.739958
coefficient;middle;2000;0.116727;1.721719
coefficient;end;2000;0.102136;1.725367
coefficient;nowhere;2000;0.105784;1.823855
coefficient;random;2000;0.111255;1.714424
normal;beginning;3000;1.060000;20.200000
normal;middle;3000;1.060000;20.560000
normal;end;3000;1.100000;20.720000
normal;nowhere;3000;1.020000;22.000000
normal;random;3000;1.080000;19.720000
coefficient;beginning;3000;0.091769;1.748805
coefficient;middle;3000;0.091769;1.779971
coefficient;end;3000;0.095232;1.793823
coefficient;nowhere;3000;0.088306;1.904639
coefficient;random;3000;0.093500;1.707249
normal;beginning;4000;1.100000;21.680000
normal;middle;4000;1.100000;19.600000
normal;end;4000;1.100000;21.000000
normal;nowhere;4000;1.040000;22.000000
normal;random;4000;1.140000;21.120000
coefficient;beginning;4000;0.091929;1.811833
coefficient;middle;4000;0.091929;1.638004
coefficient;end;4000;0.091929;1.755004
coefficient;nowhere;4000;0.086914;1.838576
coefficient;random;4000;0.095272;1.765033
normal;beginning;5000;1.120000;21.360000
normal;middle;5000;1.120000;21.320000
normal;end;5000;1.100000;22.000000
normal;nowhere;5000;1.060000;24.000000
normal;random;5000;1.100000;21.880000
coefficient;beginning;5000;0.091148;1.738322
coefficient;middle;5000;0.091148;1.735067
coefficient;end;5000;0.089520;1.790406
coefficient;nowhere;5000;0.086265;1.953171
coefficient;random;5000;0.089520;1.780641
normal;beginning;6000;1.020000;22.120000
normal;middle;6000;1.020000;22.560000
normal;end;6000;1.020000;22.400000
normal;nowhere;6000;0.980000;24.000000
normal;random;6000;1.080000;22.320000
coefficient;beginning;6000;0.081270;1.762445
coefficient;middle;6000;0.081270;1.797503
coefficient;end;6000;0.081270;1.784754
coefficient;nowhere;6000;0.078083;1.912237
coefficient;random;6000;0.086051;1.778380
normal;beginning;7000;1.020000;22.560000
normal;middle;7000;1.100000;23.320000
normal;end;7000;1.100000;22.960000
normal;nowhere;7000;1.040000;24.000000
normal;random;7000;1.140000;22.440000
coefficient;beginning;7000;0.079855;1.766206
coefficient;middle;7000;0.086118;1.825706
coefficient;end;7000;0.086118;1.797522
coefficient;nowhere;7000;0.081421;1.878943
coefficient;random;7000;0.089250;1.756812
normal;beginning;8000;1.200000;22.880000
normal;middle;8000;1.020000;23.440000
normal;end;8000;1.040000;23.200000
normal;nowhere;8000;0.980000;24.000000
normal;random;8000;1.080000;22.760000
coefficient;beginning;8000;0.092551;1.764645
coefficient;middle;8000;0.078669;1.807835
coefficient;end;8000;0.080211;1.789325
coefficient;nowhere;8000;0.075584;1.851026
coefficient;random;8000;0.083296;1.755389
normal;beginning;9000;1.200000;23.040000
