type;n;k;comps;swaps
quick;1000;1;11084.0;6856.0
hybrid;1000;1;11053.0;6472.0
dual;1000;1;9764.0;4941.0
quick;1000;10;11333.1;6643.3
hybrid;1000;10;11325.5;6236.5
dual;1000;10;10434.0;5692.6
quick;1000;100;10980.44;6328.57
hybrid;1000;100;10967.19;5921.82
dual;1000;100;9991.83;5680.48
quick;2000;1;23516.0;12924.0
hybrid;2000;1;23505.0;12102.0
dual;2000;1;22860.0;13716.0
quick;2000;10;25023.2;13804.4
hybrid;2000;10;24980.6;12958.9
dual;2000;10;22247.2;12461.5
quick;2000;100;24683.15;13939.36
hybrid;2000;100;24662.19;13135.8
dual;2000;100;22798.49;12551.31
quick;3000;1;40794.0;23566.0
hybrid;3000;1;40746.0;22310.0
dual;3000;1;34685.0;21325.0
quick;3000;10;40321.0;23199.1
hybrid;3000;10;40279.7;21980.3
dual;3000;10;36580.6;20161.1
quick;3000;100;39786.8;22356.71
hybrid;3000;100;39749.79;21146.36
dual;3000;100;36216.76;20153.99
quick;4000;1;52216.0;27620.0
hybrid;4000;1;52187.0;26063.0
dual;4000;1;50028.0;27210.0
quick;4000;10;54049.9;30016.5
hybrid;4000;10;54015.9;28412.3
dual;4000;10;49873.0;27654.1
quick;4000;100;55932.82;31502.78
hybrid;4000;100;55870.11;29859.59
dual;4000;100;50691.27;27790.26
quick;5000;1;67625.0;35156.0
hybrid;5000;1;67523.0;33083.0
dual;5000;1;61821.0;33622.0
quick;5000;10;71521.6;39212.4
hybrid;5000;10;71453.7;37183.6
dual;5000;10;65362.8;36148.5
quick;5000;100;70908.8;39169.77
hybrid;5000;100;70851.79;37150.4
dual;5000;100;64915.29;35859.02
quick;6000;1;91094.0;51340.0
hybrid;6000;1;90969.0;48862.0
dual;6000;1;76814.0;42459.0
quick;6000;10;87728.8;49264.9
hybrid;6000;10;87658.0;46863.2
dual;6000;10;80194.7;44280.1
quick;6000;100;87149.86;48775.77
hybrid;6000;100;87068.72;46328.59
dual;6000;100;79504.41;43993.01
quick;7000;1;108137.0;58574.0
hybrid;7000;1;107996.0;55697.0
dual;7000;1;93761.0;57184.0
quick;7000;10;105713.6;59507.6
hybrid;7000;10;105634.1;56686.6
dual;7000;10;93997.0;51978.1
quick;7000;100;104086.37;57904.26
hybrid;7000;100;103999.39;55064.88
dual;7000;100;94822.01;52608.45
quick;8000;1;126493.0;69595.0
hybrid;8000;1;126431.0;66315.0
dual;8000;1;111617.0;60719.0
quick;8000;10;120192.2;65998.1
hybrid;8000;10;120058.6;62698.0
dual;8000;10;108987.6;60878.1
quick;8000;100;121430.92;67188.8
hybrid;8000;100;121323.67;63934.08
dual;8000;100;110726.15;60438.48
quick;9000;1;145562.0;81486.0
hybrid;9000;1;145439.0;77908.0
dual;9000;1;132256.0;70467.0
quick;9000;10;138186.4;76217.0
hybrid;9000;10;138084.3;72616.3
dual;9000;10;124361.3;69902.6
quick;9000;100;138692.48;76692.72
hybrid;9000;100;138574.57;73039.4
dual;9000;100;126621.66;69294.68
quick;10000;1;148273.0;83708.0
hybrid;10000;1;148211.0;79684.0
dual;10000;1;135854.0;73934.0
quick;10000;10;153993.0;84942.3
hybrid;10000;10;153910.2;80910.4
dual;10000;10;143309.0;76796.6
quick;10000;100;155900.79;85388.46
hybrid;10000;100;155777.71;81329.2
dual;10000;100;142975.42;77468.58
quick;11000;1;177718.0;107756.0
hybrid;11000;1;177647.0;103331.0
dual;11000;1;157983.0;94173.0
quick;11000;10;171323.4;92994.0
hybrid;11000;10;171205.4;88540.3
dual;11000;10;157432.4;86524.3
quick;11000;100;173523.89;95584.19
hybrid;11000;100;173380.21;91110.05
dual;11000;100;157434.98;85880.04
quick;12000;1;194690.0;104187.0
hybrid;12000;1;194593.0;99491.0
dual;12000;1;168821.0;93335.0
quick;12000;10;191424.7;109392.4
hybrid;12000;10;191306.7;104564.7
dual;12000;10;173755.2;96362.5
quick;12000;100;191903.93;105452.26
hybrid;12000;100;191755.78;100583.72
dual;12000;100;174293.72;95947.57
quick;13000;1;203338.0;109935.0
hybrid;13000;1;203236.0;104721.0
dual;13000;1;185481.0;97048.0
quick;13000;10;208401.0;113350.1
hybrid;13000;10;208222.7;108021.6
dual;13000;10;191029.1;104701.7
quick;13000;100;210020.75;115421.09
hybrid;13000;100;209856.5;110125.69
dual;13000;100;191331.93;104115.45
quick;14000;1;225935.0;117599.0
hybrid;14000;1;225785.0;111982.0
dual;14000;1;206116.0;111114.0
quick;14000;10;232915.3;133207.8
hybrid;14000;10;232762.8;127568.9
dual;14000;10;208836.1;111976.6
quick;14000;100;226930.99;124333.57
hybrid;14000;100;226752.15;118643.54
dual;14000;100;207412.99;113490.11
quick;15000;1;229387.0;121100.0
hybrid;15000;1;229180.0;115104.0
dual;15000;1;219819.0;119629.0
quick;15000;10;243855.8;138381.0
hybrid;15000;10;243660.3;132237.2
dual;15000;10;224631.7;120014.6
quick;15000;100;246276.22;136671.38
hybrid;15000;100;246069.98;130564.11
dual;15000;100;225311.66;121892.39
quick;16000;1;253737.0;142740.0
