type;n;k;comps;swaps
merge;1000;1;5044.0;9976.0
my;1000;1;9214.0;8977.0
merge;1000;10;5044.0;9976.0
my;1000;10;9202.7;8963.6
merge;1000;100;5044.0;9976.0
my;1000;100;9211.12;8972.84
merge;2000;1;11088.0;21952.0
my;2000;1;20381.0;19970.0
merge;2000;10;11088.0;21952.0
my;2000;10;20409.6;19940.6
merge;2000;100;11088.0;21952.0
my;2000;100;20424.13;19945.69
merge;3000;1;18076.0;34904.0
my;3000;1;32576.0;31961.0
merge;3000;10;18076.0;34904.0
my;3000;10;32515.8;31904.2
merge;3000;100;18076.0;34904.0
my;3000;100;32509.96;31896.43
merge;4000;1;24176.0;47904.0
my;4000;1;44848.0;43941.0
merge;4000;10;24176.0;47904.0
my;4000;10;44868.9;43902.1
merge;4000;100;24176.0;47904.0
my;4000;100;44842.15;43898.24
merge;5000;1;32004.0;61808.0
my;5000;1;57957.0;56821.0
merge;5000;10;32004.0;61808.0
my;5000;10;57828.2;56788.3
merge;5000;100;32004.0;61808.0
my;5000;100;57849.6;56805.0
merge;6000;1;39152.0;75808.0
my;6000;1;71107.0;69868.0
merge;6000;10;39152.0;75808.0
my;6000;10;71025.7;69801.4
merge;6000;100;39152.0;75808.0
my;6000;100;71016.09;69790.77
merge;7000;1;46180.0;89808.0
my;7000;1;84335.0;82781.0
merge;7000;10;46180.0;89808.0
my;7000;10;84328.5;82796.6
merge;7000;100;46180.0;89808.0
my;7000;100;84329.29;82806.68
merge;8000;1;52352.0;103808.0
my;8000;1;97680.0;95771.0
merge;8000;10;52352.0;103808.0
my;8000;10;97688.8;95795.9
merge;8000;100;52352.0;103808.0
my;8000;100;97695.32;95796.81
merge;9000;1;60796.0;118616.0
my;9000;1;111649.0;109584.0
merge;9000;10;60796.0;118616.0
my;9000;10;111613.7;109589.9
merge;9000;100;60796.0;118616.0
my;9000;100;111620.71;109604.56
merge;10000;1;69008.0;133616.0
my;10000;1;125674.0;123676.0
merge;10000;10;69008.0;133616.0
my;10000;10;125707.3;123597.7
merge;10000;100;69008.0;133616.0
my;10000;100;125720.01;123632.4
merge;11000;1;77012.0;148616.0
my;11000;1;140028.0;137537.0
merge;11000;10;77012.0;148616.0
my;11000;10;139885.1;137621.9
merge;11000;100;77012.0;148616.0
my;11000;100;139857.69;137596.65
merge;12000;1;84304.0;163616.0
my;12000;1;154035.0;151671.0
merge;12000;10;84304.0;163616.0
my;12000;10;154077.5;151626.9
merge;12000;100;84304.0;163616.0
my;12000;100;154046.42;151594.46
merge;13000;1;92036.0;178616.0
my;13000;1;168160.0;165484.0
merge;13000;10;92036.0;178616.0
my;13000;10;168328.5;165613.0
merge;13000;100;92036.0;178616.0
my;13000;100;168323.64;165612.68
merge;14000;1;99360.0;193616.0
my;14000;1;182600.0;179596.0
merge;14000;10;99360.0;193616.0
my;14000;10;182646.2;179610.3
merge;14000;100;99360.0;193616.0
my;14000;100;182650.03;179606.53
merge;15000;1;106364.0;208616.0
my;15000;1;197108.0;193707.0
merge;15000;10;106364.0;208616.0
my;15000;10;197001.0;193605.1
merge;15000;100;106364.0;208616.0
my;15000;100;197024.57;193612.79
merge;16000;1;112704.0;223616.0
my;16000;1;211324.0;207502.0
merge;16000;10;112704.0;223616.0
my;16000;10;211369.4;207622.7
merge;16000;100;112704.0;223616.0
my;16000;100;211397.96;207610.17
merge;17000;1;121188.0;239232.0
my;17000;1;225955.0;221925.0
merge;17000;10;121188.0;239232.0
my;17000;10;226205.9;222253.5
merge;17000;100;121188.0;239232.0
my;17000;100;226187.21;222215.97
merge;18000;1;130592.0;255232.0
my;18000;1;241292.0;237320.0
merge;18000;10;130592.0;255232.0
my;18000;10;241193.3;237186.7
merge;18000;100;130592.0;255232.0
my;18000;100;241239.25;237205.7
merge;19000;1;139580.0;271232.0
my;19000;1;256480.0;252364.0
merge;19000;10;139580.0;271232.0
my;19000;10;256294.4;252196.2
merge;19000;100;139580.0;271232.0
my;19000;100;256316.19;252221.45
merge;20000;1;148016.0;287232.0
my;20000;1;271531.0;267336.0
merge;20000;10;148016.0;287232.0
my;20000;10;271455.8;267274.6
merge;20000;100;148016.0;287232.0
my;20000;100;271430.39;267221.11
merge;21000;1;156508.0;303232.0
my;21000;1;286428.0;282002.0
merge;21000;10;156508.0;303232.0
my;21000;10;286585.4;282188.3
merge;21000;100;156508.0;303232.0
my;21000;100;286560.58;282230.93
merge;22000;1;165024.0;319232.0
my;22000;1;301849.0;297362.0
merge;22000;10;165024.0;319232.0
my;22000;10;301771.2;297229.1
merge;22000;100;165024.0;319232.0
my;22000;100;301727.16;297219.99
merge;23000;1;173052.0;335232.0
my;23000;1;317037.0;312218.0
merge;23000;10;173052.0;335232.0
my;23000;10;316877.5;312201.9
merge;23000;100;173052.0;335232.0
my;23000;100;316918.28;312232.27
merge;24000;1;180608.0;351232.0
my;24000;1;332036.0;327069.0
merge;24000;10;180608.0;351232.0
my;24000;10;332178.4;327251.6
merge;24000;100;180608.0;351232.0
my;24000;100;332102.64;327221.41
merge;25000;1;188476.0;367232.0
my;25000;1;347319.0;342063.0
merge;25000;10;188476.0;367232.0
my;25000;10;347355.5;342211.4
merge;25000;100;188476.0;367232.0
my;25000;100;347352.84;342239.0
merge;26000;1;197072.0;383232.0
my;26000;1;362740.0;357244.0
merge;26000;10;197072.0;383232.0
my;26000;10;362633.2;357154.1
merge;26000;100;197072.0;383232.0
my;26000;100;362664.59;357232.11
merge;27000;1;205068.0;399232.0
my;27000;1;378048.0;372184.0
merge;27000;10;205068.0;399232.0
my;27000;10;377926.6;372144.3
merge;27000;100;205068.0;399232.0
my;27000;100;377984.18;372239.01
merge;28000;1;212720.0;415232.0
my;28000;1;393283.0;387209.0
merge;28000;10;212720.0;415232.0
my;28000;10;393314.1;387211.5
merge;28000;100;212720.0;415232.0
my;28000;100;393335.24;387244.74
merge;29000;1;220044.0;431232.0
my;29000;1;408573.0;402122.0
merge;29000;10;220044.0;431232.0
my;29000;10;408692.3;402233.9
merge;29000;100;220044.0;431232.0
my;29000;100;408654.24;402239.99
merge;30000;1;227728.0;447232.0
my;30000;1;423990.0;417288.0
merge;30000;10;227728.0;447232.0
my;30000;10;423998.3;417192.7
merge;30000;100;227728.0;447232.0
my;30000;100;424052.44;417227.84
merge;31000;1;234708.0;463232.0
my;31000;1;439301.0;432200.0
merge;31000;10;234708.0;463232.0
my;31000;10;439433.3;432173.7
merge;31000;100;234708.0;463232.0
my;31000;100;439418.61;432227.29
merge;32000;1;241408.0;479232.0
my;32000;1;454793.0;447235.0
merge;32000;10;241408.0;479232.0
my;32000;10;454806.5;447185.2
merge;32000;100;241408.0;479232.0
my;32000;100;454803.53;447252.69
merge;33000;1;248588.0;495464.0
my;33000;1;470214.0;462400.0
merge;33000;10;248588.0;495464.0
my;33000;10;470341.8;462411.9
merge;33000;100;248588.0;495464.0
my;33000;100;470318.37;462428.09
merge;34000;1;259376.0;512464.0
my;34000;1;486442.0;478803.0
merge;34000;10;259376.0;512464.0
my;34000;10;486414.1;478487.3
merge;34000;100;259376.0;512464.0
my;34000;100;486390.21;478442.05
merge;35000;1;269364.0;529464.0
my;35000;1;502583.0;494544.0
merge;35000;10;269364.0;529464.0
my;35000;10;502284.4;494274.8
merge;35000;100;269364.0;529464.0
my;35000;100;502423.91;494427.34
merge;36000;1;279184.0;546464.0
my;36000;1;518732.0;510802.0
merge;36000;10;279184.0;546464.0
my;36000;10;518492.6;510488.9
merge;36000;100;279184.0;546464.0
my;36000;100;518492.5;510443.65
merge;37000;1;288292.0;563464.0
my;37000;1;534592.0;526572.0
merge;37000;10;288292.0;563464.0
my;37000;10;534515.4;526392.2
merge;37000;100;288292.0;563464.0
my;37000;100;534585.19;526449.16
merge;38000;1;298160.0;580464.0
my;38000;1;550472.0;542353.0
merge;38000;10;298160.0;580464.0
my;38000;10;550738.7;542517.9
merge;38000;100;298160.0;580464.0
my;38000;100;550684.1;542473.81
merge;39000;1;307140.0;597464.0
my;39000;1;567098.0;558852.0
merge;39000;10;307140.0;597464.0
my;39000;10;566678.2;558489.4
merge;39000;100;307140.0;597464.0
my;39000;100;566782.32;558479.11
merge;40000;1;316032.0;614464.0
my;40000;1;583321.0;574825.0
merge;40000;10;316032.0;614464.0
my;40000;10;582890.2;574488.7
merge;40000;100;316032.0;614464.0
my;40000;100;582859.86;574455.83
merge;41000;1;324084.0;631464.0
my;41000;1;598770.0;590326.0
merge;41000;10;324084.0;631464.0
my;41000;10;598976.4;590413.9
