type;n;k;comps;swaps
insertion;10;1;34.0;27.0
quick;10;1;22.0;16.0
hybrid;10;1;22.0;15.0
dual;10;1;27.0;14.0
insertion;10;10;30.2;22.3
quick;10;10;24.6;17.8
hybrid;10;10;24.6;13.8
dual;10;10;23.1;16.5
insertion;10;100;28.49;21.21
quick;10;100;24.62;20.36
hybrid;10;100;24.27;15.77
dual;10;100;23.57;18.2
insertion;20;1;103.0;85.0
quick;20;1;87.0;85.0
hybrid;20;1;86.0;76.0
dual;20;1;67.0;41.0
insertion;20;10;114.9;98.0
quick;20;10;64.9;46.3
hybrid;20;10;63.5;36.6
dual;20;10;65.4;44.6
insertion;20;100;109.39;92.65
quick;20;100;72.69;51.7
hybrid;20;100;72.18;42.73
dual;20;100;67.83;47.33
insertion;30;1;266.0;240.0
quick;30;1;152.0;83.0
hybrid;30;1;155.0;74.0
dual;30;1;116.0;79.0
insertion;30;10;228.9;202.9
quick;30;10;124.4;80.5
hybrid;30;10;125.9;70.0
dual;30;10;117.8;77.2
insertion;30;100;240.49;214.17
quick;30;100;128.78;87.15
hybrid;30;100;128.28;74.54
dual;30;100;122.2;78.58
insertion;40;1;376.0;341.0
quick;40;1;187.0;108.0
hybrid;40;1;192.0;102.0
dual;40;1;195.0;106.0
insertion;40;10;420.6;385.3
quick;40;10;196.3;121.5
hybrid;40;10;195.2;104.5
dual;40;10;177.5;121.4
insertion;40;100;423.51;387.46
quick;40;100;190.64;124.21
hybrid;40;100;190.32;107.43
dual;40;100;178.94;115.42
insertion;50;1;616.0;568.0
quick;50;1;279.0;204.0
hybrid;50;1;275.0;180.0
dual;50;1;228.0;159.0
insertion;50;10;631.1;585.4
quick;50;10;261.5;161.6
hybrid;50;10;260.4;139.3
dual;50;10;249.6;146.6
insertion;50;100;643.21;597.19
quick;50;100;256.46;171.25
hybrid;50;100;255.86;150.7
dual;50;100;240.56;152.38
