type;n;comps;time
beginning;1000;17.36;1233.34
middle;1000;16.6;460.58
end;1000;16.44;751.94
missing;1000;20.0;603.86
random;1000;16.68;821.2
beginning;2000;19.4;988.5
middle;2000;19.2;319.06
end;2000;18.92;251.92
missing;2000;22.0;474.32
random;2000;18.4;266.5
beginning;3000;20.32;422.54
middle;3000;19.52;257.68
end;3000;19.44;687.6
missing;3000;24.0;192.96
random;3000;21.24;246.44
beginning;4000;20.92;195.34
middle;4000;21.4;145.94
end;4000;21.2;134.74
missing;4000;24.0;104.8
random;4000;21.12;148.72
beginning;5000;22.0;99.58
middle;5000;21.44;102.84
end;5000;21.12;91.16
missing;5000;26.0;64.56
random;5000;22.08;108.4
beginning;6000;22.52;110.74
middle;6000;22.52;112.16
end;6000;22.52;101.46
missing;6000;26.0;65.76
random;6000;21.56;122.64
beginning;7000;22.6;152.82
middle;7000;23.4;149.1
end;7000;23.16;132.28
missing;7000;26.0;99.16
random;7000;23.0;150.5
beginning;8000;23.2;164.06
middle;8000;23.4;142.88
end;8000;23.16;133.74
missing;8000;26.0;103.2
random;8000;22.68;156.22
beginning;9000;23.44;133.86
middle;9000;23.0;122.04
end;9000;23.24;111.56
missing;9000;28.0;91.14
random;9000;23.6;133.3
beginning;10000;23.32;129.82
middle;10000;23.88;128.3
end;10000;23.96;118.18
missing;10000;28.0;85.28
random;10000;24.24;137.96
beginning;11000;24.28;105.6
middle;11000;24.32;113.44
end;11000;24.28;100.46
missing;11000;28.0;61.88
random;11000;24.96;120.06
beginning;12000;24.36;104.2
middle;12000;24.28;104.84
end;12000;24.16;97.08
missing;12000;28.0;56.32
random;12000;23.64;108.3
beginning;13000;24.88;104.48
middle;13000;24.64;107.18
end;13000;24.2;97.54
missing;13000;28.0;56.48
random;13000;25.16;114.66
beginning;14000;24.44;100.82
middle;14000;24.56;99.22
end;14000;24.6;89.8
missing;14000;28.0;51.64
random;14000;25.4;111.62
beginning;15000;24.84;95.86
middle;15000;25.16;98.0
end;15000;24.8;91.38
missing;15000;28.0;50.04
random;15000;24.6;103.58
beginning;16000;25.28;96.44
middle;16000;25.08;102.32
end;16000;25.28;93.62
missing;16000;28.0;52.32
random;16000;24.88;113.02
beginning;17000;24.92;116.36
middle;17000;25.0;112.46
end;17000;25.16;106.48
missing;17000;30.0;60.12
random;17000;24.84;120.34
beginning;18000;25.64;118.2
middle;18000;25.8;118.78
end;18000;25.0;102.78
missing;18000;30.0;59.36
random;18000;25.6;126.26
beginning;19000;24.96;115.96
middle;19000;25.76;117.84
end;19000;25.0;105.06
missing;19000;30.0;58.92
random;19000;25.72;121.8
beginning;20000;25.76;134.86
middle;20000;25.32;124.6
end;20000;26.12;107.76
missing;20000;30.0;62.64
random;20000;25.84;131.48
beginning;21000;25.12;115.22
middle;21000;26.4;113.88
end;21000;24.72;97.54
missing;21000;30.0;56.14
random;21000;26.32;119.0
beginning;22000;25.92;118.04
middle;22000;26.48;107.48
end;22000;25.32;98.18
missing;22000;30.0;55.04
random;22000;26.28;126.86
beginning;23000;26.6;117.1
middle;23000;25.96;107.32
end;23000;27.0;98.74
missing;23000;30.0;53.48
random;23000;26.32;123.48
beginning;24000;26.28;136.8
middle;24000;27.0;124.74
end;24000;25.92;102.5
missing;24000;30.0;63.94
random;24000;26.28;133.02
beginning;25000;26.44;145.38
middle;25000;26.92;123.1
end;25000;26.32;107.74
missing;25000;30.0;74.52
random;25000;26.88;135.66
beginning;26000;27.12;126.7
middle;26000;26.48;115.34
end;26000;26.52;108.32
missing;26000;30.0;58.88
random;26000;25.96;129.44
beginning;27000;26.16;124.68
middle;27000;25.92;119.8
end;27000;26.2;97.2
missing;27000;30.0;52.22
random;27000;27.36;133.78
beginning;28000;25.96;122.7
middle;28000;26.48;115.6
end;28000;26.88;106.18
missing;28000;30.0;56.0
random;28000;26.92;131.24
beginning;29000;26.76;130.44
