type;n;comps;swaps;time
dualselect;100;4201.72;1830.08;0.12305066000000002
dualsort;100;594.84;369.3;0.026444240000000004
dualselect;200;10665.72;4610.18;0.12585138
dualsort;200;1437.88;846.76;0.027773420000000004
dualselect;300;17784.64;7476.68;0.16548684000000002
dualsort;300;2371.16;1388.32;0.03559486
dualselect;400;25595.94;10924.82;0.23450370000000004
dualsort;400;3404.58;1955.5;0.049903060000000006
dualselect;500;34163.4;14348.44;0.8035066000000002
dualsort;500;4478.22;2536.98;0.046597160000000006
dualselect;600;42648.28;17853.62;0.7377121399999998
dualsort;600;5403.0;3181.0;0.04697025999999999
dualselect;700;50234.98;20962.5;0.3726980000000001
dualsort;700;6615.7;3837.16;0.048625680000000004
dualselect;800;59213.64;24560.78;0.39094982
dualsort;800;7752.34;4342.18;0.05546517999999999
dualselect;900;69765.94;28772.48;0.44928863999999996
dualsort;900;8826.8;4985.38;0.06444846
dualselect;1000;79848.48;32987.34;0.5169290599999998
dualsort;1000;10129.02;5619.1;0.07353778
dualselect;1100;88906.32;36948.16;0.9071064399999997
dualsort;1100;11255.34;6453.22;0.08814233999999999
dualselect;1200;99111.08;41369.36;0.5970188000000001
dualsort;1200;12609.62;7070.38;0.09116410000000003
dualselect;1300;109222.64;45342.04;0.6826984399999998
dualsort;1300;13740.54;7643.72;0.10325356000000002
dualselect;1400;120078.18;49563.42;0.6822203800000003
dualsort;1400;14986.26;8345.22;0.10429653999999998
dualselect;1500;130783.76;54010.28;0.7798023000000001
dualsort;1500;16359.38;9129.4;0.11719696
dualselect;1600;140716.52;58103.58;0.7847164600000002
dualsort;1600;17569.5;9876.42;0.12236282000000001
dualselect;1700;151914.18;62732.92;0.7587599599999999
dualsort;1700;18913.46;10570.5;0.1310564
dualselect;1800;161894.86;66746.9;0.8162912600000002
dualsort;1800;20172.38;11148.82;0.13966204000000004
dualselect;1900;170320.06;70495.76;0.84946644
dualsort;1900;21313.7;12025.9;0.14773196000000002
dualselect;2000;179562.94;74449.02;0.8843527200000001
dualsort;2000;22518.62;12943.72;0.15671744
dualselect;2100;190394.7;78331.96;0.9424616200000002
dualsort;2100;23989.88;13308.62;0.16504096000000001
dualselect;2200;201526.12;82815.4;1.1032596799999999
dualsort;2200;25103.68;14040.96;0.1747127
dualselect;2300;213041.04;87309.74;1.15443428
dualsort;2300;26860.0;14921.98;0.18406828
dualselect;2400;223690.36;91432.0;1.2179102199999998
dualsort;2400;28080.18;15478.54;0.19201681999999995
dualselect;2500;235193.38;96220.22;1.3305724399999996
dualsort;2500;29194.08;16195.46;0.20062214000000003
dualselect;2600;247640.18;101119.08;1.1989628
dualsort;2600;30454.22;16942.52;0.20936162000000003
dualselect;2700;260343.16;106113.88;1.2577189799999997
dualsort;2700;32147.98;17956.72;0.21885756000000003
dualselect;2800;272686.54;111430.24;1.3095194399999999
dualsort;2800;33423.24;18409.02;0.22711134000000002
dualselect;2900;285223.8;116276.24;1.3810986999999997
dualsort;2900;34773.6;19256.94;0.23645606000000005
dualselect;3000;296534.54;121166.42;1.4337117399999997
dualsort;3000;36040.0;19881.3;0.24526687999999988
dualselect;3100;308104.12;126038.66;1.4794083400000004
dualsort;3100;37653.84;21229.66;0.25576303999999994
dualselect;3200;319325.92;130527.42;1.5689484400000009
dualsort;3200;38900.0;21480.6;0.26478256000000006
dualselect;3300;330393.02;135569.98;1.5664162599999998
dualsort;3300;40092.02;22092.06;0.27374943999999996
dualselect;3400;340271.84;140008.38;1.6296692599999998
dualsort;3400;41886.1;23344.04;0.28584824
dualselect;3500;352351.18;145302.66;1.7195581400000004
dualsort;3500;42925.66;23761.9;0.2995179
dualselect;3600;366221.98;150879.12;1.8509837800000002
dualsort;3600;44909.28;24536.5;0.31421741999999997
dualselect;3700;379659.82;156575.06;1.81363934
dualsort;3700;45810.02;25129.76;0.31083261999999995
dualselect;3800;391049.2;160762.18;1.93989828
dualsort;3800;47427.9;26293.64;0.32514416
dualselect;3900;404148.62;165847.8;1.93476668
dualsort;3900;48706.86;26823.02;0.33132549999999994
dualselect;4000;415856.46;170527.02;2.0050842599999994
dualsort;4000;50127.7;27666.86;0.34191044
dualselect;4100;429200.78;175250.7;2.06188372
dualsort;4100;51687.44;29055.5;0.34943625999999994
dualselect;4200;442165.62;180750.3;2.11390474
dualsort;4200;52898.58;29352.98;0.35900010000000004
dualselect;4300;455760.9;186340.46;2.17029056
dualsort;4300;54523.02;29842.54;0.3680733
dualselect;4400;467623.8;191333.64;2.2278082799999996
dualsort;4400;55638.88;30674.04;0.37691839999999993
dualselect;4500;480088.76;196187.44;2.29011832
dualsort;4500;57447.44;31464.46;0.3865183200000001
dualselect;4600;491771.22;200678.78;2.3394172400000004
dualsort;4600;58967.52;32274.38;0.3975104000000001
