type;n;comps;swaps;time
select3;100;789.64;379.52;0.02781756043434143
select5;100;735.26;373.26;0.01971697747707367
select7;100;774.82;420.7;0.016965139508247375
select9;100;829.38;481.5;0.015852678418159485
select3;200;1741.8;813.6;0.01817763805389404
select5;200;1575.6;784.96;0.01263073980808258
select7;200;1648.48;881.14;0.011220098733901977
select9;200;1761.28;1015.64;0.010334818363189698
select3;300;2620.54;1237.74;0.024006878137588502
select5;300;2388.88;1195.94;0.02023830056190491
select7;300;2521.72;1356.14;0.017471982836723327
select9;300;2692.76;1557.7;0.015773558616638185
select3;400;3662.36;1690.44;0.026631921529769897
select5;400;3319.26;1640.82;0.019464362263679504
select7;400;3427.26;1840.38;0.019170458316802978
select9;400;3633.56;2103.64;0.016997982263565064
select3;500;4592.58;2125.6;0.034456379413604736
select5;500;4194.3;2081.3;0.025486441254615785
select7;500;4337.72;2303.32;0.024424082040786742
select9;500;4567.76;2598.1;0.02285592198371887
select3;600;5648.04;2630.36;0.038892462849617004
select5;600;5082.02;2530.5;0.02953947901725769
select7;600;5184.74;2795.26;0.02750686228275299
select9;600;5580.54;3217.06;0.02764828026294708
select3;700;6629.34;3071.68;0.04328779935836792
select5;700;5912.52;2950.3;0.03301497995853424
select7;700;6155.78;3280.04;0.030203959941864013
select9;700;6498.38;3727.34;0.028468419909477235
select3;800;7640.8;3512.72;0.07492192089557648
select5;800;6896.32;3413.46;0.05587092101573944
select7;800;7046.32;3753.24;0.04836690068244934
select9;800;7532.18;4287.04;0.04457532167434693
select3;900;8807.42;4028.8;0.08325905799865722
select5;900;7834.96;3890.62;0.06060177683830261
select7;900;7954.42;4283.36;0.054806056022644045
select9;900;8441.12;4891.04;0.04847640156745911
select3;1000;9660.74;4489.46;0.09051833987236023
select5;1000;8681.72;4281.9;0.06574050009250641
select7;1000;8847.76;4753.12;0.05749467968940735
select9;1000;9260.24;5370.4;0.05233366012573242
select3;1100;10649.42;4958.34;0.0997640210390091
select5;1100;9670.14;4737.44;0.07242631733417511
select7;1100;9811.4;5234.0;0.06546516060829162
select9;1100;10456.52;6021.0;0.06135012090206146
select3;1200;11601.9;5331.98;0.06041506171226502
select5;1200;10651.18;5189.62;0.04991037905216217
select7;1200;10680.62;5669.18;0.04417499780654907
select9;1200;11389.74;6524.94;0.04342980444431305
select3;1300;12837.32;5910.16;0.06154598295688629
select5;1300;11437.3;5607.64;0.050224360823631284
select7;1300;11701.64;6232.04;0.04685631930828094
select9;1300;12250.86;6998.5;0.045071501135826114
select3;1400;13843.34;6361.22;0.0661628794670105
select5;1400;12417.72;6088.86;0.05430058062076568
select7;1400;12357.14;6626.1;0.048673083186149595
select9;1400;13169.72;7616.5;0.047945099472999575
select3;1500;14830.9;6851.32;0.07775412023067474
select5;1500;13497.72;6538.42;0.06097109854221344
select7;1500;13458.1;7146.78;0.05633881628513336
select9;1500;14226.54;8171.36;0.05508583903312683
select3;1600;15686.26;7260.54;0.0795821762084961
select5;1600;14361.04;7042.54;0.06448313593864441
select7;1600;14492.7;7699.32;0.05803830027580261
select9;1600;15201.96;8694.92;0.05607916295528412
select3;1700;16692.6;7701.84;0.08463823914527893
select5;1700;15128.36;7443.1;0.07126808047294617
select7;1700;15509.7;8194.46;0.06893501937389374
select9;1700;16185.06;9287.54;0.0651932579278946
select3;1800;18115.36;8279.66;0.08223577797412872
select5;1800;16087.1;7855.62;0.0699866008758545
select7;1800;16307.26;8762.68;0.06693974077701569
select9;1800;17127.14;9861.14;0.06417695760726928
select3;1900;19001.62;8675.36;0.08893806099891663
select5;1900;16952.82;8319.74;0.07482368171215058
select7;1900;17255.28;9183.34;0.07113985896110535
select9;1900;18225.9;10467.34;0.0690290629863739
select3;2000;20062.84;9195.36;0.08902697801589966
select5;2000;18082.34;8813.04;0.07551265954971313
select7;2000;17961.34;9554.22;0.07017545998096467
select9;2000;19177.96;11015.02;0.06812111973762512
select3;2100;21165.82;9746.36;0.08870086073875427
