type;n;comps;swaps;time
quickselect;100;3463.8;1639.42;0.11409357999999999
quicksort;100;635.76;386.8;0.01751737999999999
quickselect;200;8708.54;4014.18;0.11017474
quicksort;200;1548.16;940.94;0.022835180000000004
quickselect;300;14260.64;6435.24;0.14206168000000002
quicksort;300;2605.6;1563.58;0.03547991999999999
quickselect;400;20911.52;9425.02;0.33789198000000004
quicksort;400;3660.68;2154.0;0.021761580000000006
quickselect;500;27331.96;12216.1;0.66075298
quicksort;500;4851.82;2907.2;0.031401319999999996
quickselect;600;34317.72;15156.52;0.79412416
quicksort;600;5955.74;3461.62;0.037500580000000006
quickselect;700;42242.42;18683.0;0.3227475
quicksort;700;7244.22;4163.7;0.046066260000000005
quickselect;800;49708.84;21967.42;0.2978274
quicksort;800;8404.42;4942.84;0.05203644
quickselect;900;56981.46;25156.76;0.31223169999999995
quicksort;900;9711.44;5567.84;0.059251
quickselect;1000;64676.32;28463.16;0.35116004000000006
quicksort;1000;10886.58;6265.54;0.06595838
quickselect;1100;72362.24;31760.94;0.42339619999999994
quicksort;1100;12351.68;7095.4;0.07932639999999999
quickselect;1200;79910.5;34898.42;0.48650504000000006
quicksort;1200;13579.96;7799.12;0.08278562
quickselect;1300;89726.96;39158.1;0.5381561200000001
quicksort;1300;15113.9;8730.28;0.09049068
quickselect;1400;97893.5;42755.16;0.57346918
quicksort;1400;16457.22;9459.98;0.09806221999999996
quickselect;1500;106593.16;46645.38;0.6219555
quicksort;1500;17822.12;10277.48;0.10566654
quickselect;1600;115941.02;50565.04;0.6997227399999999
quicksort;1600;18988.4;10806.62;0.11319057999999994
quickselect;1700;123083.62;53951.6;0.78418194
quicksort;1700;20656.74;11721.08;0.12193622000000001
quickselect;1800;131905.38;57617.66;0.7327059999999999
quicksort;1800;21708.62;12339.18;0.12862986
quickselect;1900;140462.42;61478.02;0.7889999799999999
quicksort;1900;23274.74;13114.5;0.13672454
quickselect;2000;149168.28;64896.92;0.8215780600000001
quicksort;2000;24616.6;14139.56;0.14514020000000002
quickselect;2100;158230.52;68811.78;0.8669798
quicksort;2100;26119.84;14905.38;0.15428693999999998
quickselect;2200;166461.54;72242.24;0.91403598
quicksort;2200;27595.58;15527.94;0.16071236000000003
quickselect;2300;174444.9;75799.66;0.9839954999999999
