type;n;comps;swaps;time
quickselect;100;3704.0;1728.0;0.07215067999999998
quicksort;100;4950.0;2549.0;0.045484660000000024
quickselect;200;9300.0;4308.0;0.04873750000000001
quicksort;200;19900.0;10099.0;0.019367420000000003
quickselect;300;15219.0;6922.0;0.07463990000000002
quicksort;300;44850.0;22649.0;0.04156282000000001
quickselect;400;22652.0;10404.0;0.13459334000000006
quicksort;400;79800.0;40199.0;0.12710904
quickselect;500;28266.0;12958.0;0.13701511999999996
quicksort;500;124750.0;62749.0;0.18073596000000003
quickselect;600;35934.0;16345.0;0.4638692400000001
quicksort;600;179700.0;90299.0;0.24444512
quickselect;700;43763.0;19862.0;0.3682396
quicksort;700;244650.0;122849.0;0.32770727999999993
quickselect;800;52763.0;24101.0;0.18734636000000005
quicksort;800;319600.0;160399.0;0.43523565999999997
quickselect;900;58818.0;27059.0;0.20007936
quicksort;900;404550.0;202949.0;0.53528878
quickselect;1000;67729.0;30684.0;0.22322278000000012
quicksort;1000;499500.0;250499.0;0.64223778
quickselect;1100;74865.0;33938.0;0.25186834
quicksort;1100;604450.0;303049.0;0.81491922
quickselect;1200;84103.0;38118.0;0.2557916400000001
quicksort;1200;719400.0;360599.0;0.95523442
quickselect;1300;92470.0;41978.0;0.27027242000000007
quicksort;1300;844350.0;423149.0;1.0587938000000001
quickselect;1400;102152.0;46133.0;0.29133626
quicksort;1400;979300.0;490699.0;1.2134187800000003
quickselect;1500;109353.0;49830.0;0.30437208
quicksort;1500;1124250.0;563249.0;1.3530284000000001
quickselect;1600;121883.0;55330.0;0.38282160000000004
quicksort;1600;1279200.0;640799.0;1.5209822199999994
quickselect;1700;125296.0;57317.0;0.3860676400000001
quicksort;1700;1444150.0;723349.0;1.6949218799999997
quickselect;1800;136909.0;62338.0;0.42235375999999986
quicksort;1800;1619100.0;810899.0;1.9055030200000005
quickselect;1900;145601.0;66031.0;0.44847558
quicksort;1900;1804050.0;903449.0;2.1239525599999998
quickselect;2000;155603.0;70558.0;0.47472444
quicksort;2000;1999000.0;1000999.0;2.37309608
quickselect;2100;160434.0;72901.0;0.48657352
quicksort;2100;2203950.0;1103549.0;2.6019485399999995
quickselect;2200;172727.0;78001.0;0.52860958
quicksort;2200;2418900.0;1211099.0;2.8816164399999997
quickselect;2300;179522.0;81310.0;0.5455889199999999
quicksort;2300;2643850.0;1323649.0;3.1870396400000005
quickselect;2400;192414.0;87034.0;0.5090619599999999
quicksort;2400;2878800.0;1441199.0;3.381713739999999
quickselect;2500;198198.0;90067.0;0.54494184
quicksort;2500;3123750.0;1563749.0;3.92716014
quickselect;2600;212799.0;96267.0;0.62434004
quicksort;2600;3378700.0;1691299.0;4.304360139999999
quickselect;2700;222190.0;100244.0;0.59514174
quicksort;2700;3643650.0;1823849.0;4.30844498
quickselect;2800;233470.0;105387.0;0.6483242
