type;n;comps;swaps
select;100;746.3;378.72
randomSelect;100;290.24;163.58
select;200;1585.02;795.7
randomSelect;200;595.58;333.22
select;300;2409.54;1205.62
randomSelect;300;899.98;479.62
select;400;3344.3;1660.2
randomSelect;400;1253.28;676.52
select;500;4213.8;2114.2
randomSelect;500;1450.84;783.26
select;600;5160.54;2533.82
randomSelect;600;1764.34;906.3
select;700;5970.56;2945.94
randomSelect;700;1979.96;1036.68
select;800;6946.96;3403.12
randomSelect;800;2387.22;1224.52
select;900;7827.82;3843.76
randomSelect;900;2635.24;1332.04
select;1000;8732.28;4287.76
randomSelect;1000;2816.64;1359.84
select;1100;9680.96;4763.84
randomSelect;1100;3463.8;1711.4
select;1200;10539.9;5194.54
randomSelect;1200;3683.14;1866.26
select;1300;11522.54;5669.6
randomSelect;1300;3987.22;2085.1
select;1400;12262.42;6005.1
randomSelect;1400;4386.36;2242.08
select;1500;13354.92;6553.94
randomSelect;1500;4523.86;2267.06
select;1600;14428.7;7083.66
randomSelect;1600;4948.94;2743.12
select;1700;15142.02;7429.46
randomSelect;1700;4844.46;2480.66
select;1800;16185.22;7940.9
randomSelect;1800;5421.54;2673.32
select;1900;17160.08;8352.82
randomSelect;1900;5399.28;2577.92
select;2000;17818.1;8785.72
randomSelect;2000;6254.74;3353.18
select;2100;18826.78;9323.36
randomSelect;2100;6392.64;3301.06
select;2200;19715.44;9691.42
randomSelect;2200;6152.48;3115.4
select;2300;20815.14;10159.72
randomSelect;2300;6827.32;3574.96
select;2400;21668.52;10646.62
randomSelect;2400;7513.64;3889.94
select;2500;22558.46;10973.78
randomSelect;2500;7206.9;3509.2
select;2600;23551.2;11550.62
randomSelect;2600;7932.5;3768.34
select;2700;24239.36;11974.6
randomSelect;2700;8246.68;4115.88
select;2800;25169.76;12383.86
randomSelect;2800;8597.34;4298.68
select;2900;26349.7;12887.48
randomSelect;2900;8762.74;4521.3
select;3000;27446.36;13436.16
randomSelect;3000;9240.64;4605.98
select;3100;28140.68;13769.32
randomSelect;3100;10009.68;5072.02
select;3200;28700.34;14225.44
randomSelect;3200;9391.4;4629.56
select;3300;30159.28;14738.88
randomSelect;3300;10302.22;5317.02
select;3400;30790.06;15187.36
randomSelect;3400;11465.3;5634.3
select;3500;31960.46;15722.84
randomSelect;3500;10026.64;4911.64
select;3600;32604.68;16058.38
randomSelect;3600;11679.36;5588.6
select;3700;33299.82;16470.44
randomSelect;3700;11477.9;5384.6
select;3800;34618.12;17023.36
randomSelect;3800;11317.92;5687.58
select;3900;35607.44;17498.08
randomSelect;3900;11465.24;5596.06
select;4000;36523.32;18049.58
randomSelect;4000;12571.4;6445.44
select;4100;37225.64;18398.48
randomSelect;4100;11733.98;5952.98
select;4200;38397.86;18907.38
randomSelect;4200;12831.18;6040.34
select;4300;39634.24;19426.82
randomSelect;4300;12982.76;6367.24
select;4400;40589.94;19871.3
randomSelect;4400;13376.22;6366.66
select;4500;41017.72;19994.22
randomSelect;4500;14783.88;7197.58
select;4600;42514.42;20858.44
randomSelect;4600;12908.46;6824.36
select;4700;42645.6;21026.16
randomSelect;4700;13587.28;6407.58
select;4800;43785.38;21624.38
randomSelect;4800;15037.9;7800.54
select;4900;44789.6;21954.4
randomSelect;4900;14631.92;7194.08
select;5000;45845.66;22403.26
randomSelect;5000;14248.88;7010.28
select;5100;47031.78;23124.8
randomSelect;5100;14161.08;6922.48
select;5200;47948.6;23427.5
randomSelect;5200;15020.8;7409.24
select;5300;49790.36;24032.72
randomSelect;5300;16076.32;8393.62
select;5400;49270.72;24362.44
randomSelect;5400;16435.14;8335.98
select;5500;50380.88;24849.82
randomSelect;5500;16824.96;8659.06
select;5600;51240.08;25245.28
randomSelect;5600;16206.3;7870.34
select;5700;53361.6;25762.3
randomSelect;5700;18788.74;8958.12
select;5800;53417.02;26236.62
randomSelect;5800;18352.74;8938.34
select;5900;54118.24;26561.48
randomSelect;5900;17171.62;8969.4
select;6000;54895.52;27041.66
randomSelect;6000;17927.76;9439.68
select;6100;56187.02;27753.54
randomSelect;6100;18267.88;9688.64
select;6200;57247.86;28034.36
randomSelect;6200;18093.48;9140.22
select;6300;58392.92;28565.36
randomSelect;6300;19413.12;9633.66
select;6400;59327.46;29165.76
randomSelect;6400;18091.88;9087.48
select;6500;59515.96;29351.44
randomSelect;6500;19092.82;9305.94
select;6600;60160.0;29656.96
randomSelect;6600;21037.3;9808.52
select;6700;62416.24;30536.36
